,Isolate_1,Isolate_2,Isolate_3,Isolate_4,Colony Count,cfu/ml,value,Day,ID,Qtr,Treatment,Fat,Protein,Lactose,SNF,MUN,SCC,BHB,Acetone,sccact,logscc,subclinical,Maxsq,Minsq,Avgesq,Maxpoly,Minpoly,Avgepoly,cohort,day_within_cohort,merged_ID,bac_type,gram_sp,logcfu,sq_delta,poly_delta
201,Staphylococcus aureus,Staphylococcus chromogenes,Mixed Bacterial Growth,,"Colony Count: 6,000 colony forming units/mL.",6000,,110,61799,LR,C,1.33,3.34,4.52,8.72,5.5626,81,-0.12,0.05,81000,16.30563428754671,0,32.5,31.2,31.86,34.4,27.0,32.76,1,10,61799.0CLR,Contagious,Positive,3.7782236267660965,1.3000000000000007,1.3000000000000007
202,Staphylococcus aureus,Staphylococcus chromogenes,Mixed Bacterial Growth,,"Colony Count: 6,000 colony forming units/mL.",6000,,110,61799,RF,C,1.17,3.57,2.17,6.35,8.02029,9999,-0.8,-0.1,9999000,23.25335238749349,1,35.3,34.5,34.91,32.5,27.2,31.27,1,10,61799.0CRF,Contagious,Positive,3.7782236267660965,0.7999999999999972,0.7999999999999972
203,Staphylococcus aureus,Staphylococcus chromogenes,Mixed Bacterial Growth,,"Colony Count: 6,000 colony forming units/mL.",6000,,110,61799,RR,C,1.21,3.46,4.77,9.12,6.07742,59,-0.14,0.04,59000,15.84842733402393,0,32.2,29.7,31.07,35.9,34.1,35.29,1,10,61799.0CRR,Contagious,Positive,3.7782236267660965,2.5000000000000036,2.5000000000000036
204,Corynebacterium pseudotuberculosis,,,,Colony Count: <100 CFU/mL.,100,,310,61810,LF,T,1.7,3.2,4.63,8.71,12.88152,85,0.28,0.02,85000,16.37517522079979,0,34.0,33.4,33.68,34.3,31.0,33.02,3,10,61810.0TLF,Environmental,Positive,2.0043213737826426,0.6000000000000014,0.6000000000000014
205,Corynebacterium pseudotuberculosis,,,,Colony Count: <100 CFU/mL.,100,,310,61810,LR,T,1.59,3.23,4.26,8.33,13.15168,5012,0.22,0.02,5012000,22.25695498398395,1,31.5,29.5,30.6,32.9,28.4,31.33,3,10,61810.0TLR,Environmental,Positive,2.0043213737826426,2.0,2.0
206,Corynebacterium pseudotuberculosis,,,,Colony Count: <100 CFU/mL.,100,,310,61810,RF,T,1.53,3.14,4.45,8.47,12.71223,232,0.23,0.01,232000,17.82376527978966,0,35.0,34.5,34.7,35.2,32.7,34.1,3,10,61810.0TRF,Environmental,Positive,2.0043213737826426,0.5,0.5
207,Corynebacterium pseudotuberculosis,,,,Colony Count: <100 CFU/mL.,100,,310,61810,RR,T,1.45,3.31,4.61,8.81,12.41748,1132,0.12,0.03,1132000,20.11044252749397,1,32.8,30.0,31.31,33.9,29.8,32.01,3,10,61810.0TRR,Environmental,Positive,2.0043213737826426,2.799999999999997,2.799999999999997
208,Staphylococcus chromogenes,,,,Colony Count: <100 CFU/mL.,100,,325,61810,LF,T,1.2,3.27,4.61,8.73,15.21679,116,-0.06,0.01,116000,16.82376527978966,0,35.8,34.9,35.46,36.7,32.1,35.63,3,25,61810.0TLF,Environmental,Positive,2.0043213737826426,0.8999999999999986,0.8999999999999986
209,Staphylococcus chromogenes,,,,Colony Count: <100 CFU/mL.,100,,325,61810,LR,T,1.25,3.28,4.13,8.2,16.86534,3236,-0.14,0.01,3236000,21.62578017709206,1,33.3,32.3,32.92,33.8,29.3,32.48,3,25,61810.0TLR,Environmental,Positive,2.0043213737826426,1.0,1.0
210,Staphylococcus chromogenes,,,,Colony Count: <100 CFU/mL.,100,,325,61810,RF,T,1.12,3.27,4.56,8.67,16.40395,166,-0.1,0.01,166000,17.34082371600901,0,36.1,35.4,35.72,36.4,32.6,35.13,3,25,61810.0TRF,Environmental,Positive,2.0043213737826426,0.7000000000000028,0.7000000000000028
211,Staphylococcus chromogenes,,,,Colony Count: <100 CFU/mL.,100,,325,61810,RR,T,0.96,3.42,4.26,8.49,16.35136,9194,-0.25,0.01,9194000,23.13226123547889,1,35.7,34.7,35.26,35.7,32.1,32.12,3,25,61810.0TRR,Environmental,Positive,2.0043213737826426,1.0,1.0
212,Streptococcus uberis,,,,"Colony Count: 2,900 colony forming units/mL.",2900,,20,61971,LR,T ,1.41,3.78,4.89,9.57,13.75777,4,0.07,0.05,4000,11.96578428466209,0,34.7,23.0,30.78,35.1,20.0,32.31,2,0,61971.0T LR,Environmental,Positive,3.4625477288026643,11.700000000000003,11.700000000000003
213,Streptococcus uberis,,,,"Colony Count: 2,900 colony forming units/mL.",2900,,20,61971,RF,T ,0.66,3.85,5.0,9.75,14.31135,47,-0.05,0.04,47000,15.52037313633973,0,35.4,30.1,34.01,35.4,30.4,33.06,2,0,61971.0T RF,Environmental,Positive,3.4625477288026643,5.299999999999997,5.299999999999997
214,Streptococcus uberis,,,,"Colony Count: 2,900 colony forming units/mL.",2900,,20,61971,RR,T ,1.9,3.54,3.19,7.44,13.85615,4399,-0.33,-0.05,4399000,22.06874417057221,1,34.0,21.5,28.35,35.5,26.9,33.6,2,0,61971.0T RR,Environmental,Positive,3.4625477288026643,12.5,12.5
215,Staphylococcus chromogenes,Staphylococcus haemolyticus,,,Colony Count: 100 colony forming units/mL.,100,,225,61971,LF,T ,1.5,3.6,4.96,9.46,8.08746,8,0.17,0.04,8000,12.96578428466209,0,35.3,33.0,34.7,35.3,30.5,33.7,2,25,61971.0T LF,Environmental,Positive,2.0043213737826426,2.299999999999997,2.299999999999997
216,Staphylococcus chromogenes,Staphylococcus haemolyticus,,,Colony Count: 100 colony forming units/mL.,100,,225,61971,LR,T ,1.48,3.71,4.92,9.53,7.20644,20,0.05,0.04,20000,14.28771237954945,0,32.3,28.3,31.0,32.9,28.6,31.2,2,25,61971.0T LR,Environmental,Positive,2.0043213737826426,3.9999999999999964,3.9999999999999964
217,Staphylococcus chromogenes,Staphylococcus haemolyticus,,,Colony Count: 100 colony forming units/mL.,100,,225,61971,RF,T ,1.16,3.66,4.94,9.5,7.54542,51,0.05,0.04,51000,15.63820962663358,0,32.2,25.6,30.8,34.8,32.1,33.7,2,25,61971.0T RF,Environmental,Positive,2.0043213737826426,6.600000000000001,6.600000000000001
218,Staphylococcus chromogenes,Staphylococcus haemolyticus,,,Colony Count: 100 colony forming units/mL.,100,,225,61971,RR,T ,2.27,4.11,2.54,7.29,5.17251,4804,-0.85,-0.15,4804000,22.19580472036772,1,35.4,32.8,34.9,32.4,25.2,30.3,2,25,61971.0T RR,Environmental,Positive,2.0043213737826426,2.6000000000000014,2.6000000000000014
219,Staphylococcus chromogenes,Streptococcus dysgalactiae,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,410,61981,LF,LT,3.41,3.78,3.26,7.72,14.50374,9999,-0.33,-0.02,9999000,23.25335238749349,1,33.5,32.3,33.08,33.5,30.0,32.26,4,10,61981.0LTLF,Environmental,Positive,4.000043427276863,1.2000000000000028,1.2000000000000028
220,Staphylococcus chromogenes,Streptococcus dysgalactiae,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,410,61981,LR,LT,3.06,3.83,4.69,9.35,16.74774,639,0.07,0.05,639000,19.28545640560908,1,33.1,31.6,32.56,33.2,29.2,31.24,4,10,61981.0LTLR,Environmental,Positive,4.000043427276863,1.5,1.5
221,Staphylococcus chromogenes,Streptococcus dysgalactiae,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,410,61981,RF,LT,2.99,3.83,4.78,9.46,15.3512,45,0.08,0.04,45000,15.45763738099176,0,32.8,30.8,31.92,32.9,30.6,31.91,4,10,61981.0LTRF,Environmental,Positive,4.000043427276863,1.9999999999999964,1.9999999999999964
222,Staphylococcus chromogenes,Streptococcus dysgalactiae,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,410,61981,RR,LT,3.31,3.58,4.11,8.47,14.37643,1418,0.11,0.02,1418000,20.43542610190161,1,33.1,32.1,32.68,33.3,30.4,31.94,4,10,61981.0LTRR,Environmental,Positive,4.000043427276863,1.0,1.0
223,Staphylococcus chromogenes,Streptococcus dysgalactiae,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,425,61981,LF,LT,1.13,4.24,2.91,7.79,14.74484,8475,-0.97,-0.06,8475000,23.01478193757315,1,34.7,31.1,33.8,35.0,33.0,34.2,4,25,61981.0LTLF,Environmental,Positive,4.000043427276863,3.6000000000000014,3.6000000000000014
224,Staphylococcus chromogenes,Streptococcus dysgalactiae,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,425,61981,LR,LT,0.52,4.15,4.47,9.42,13.80702,813,-0.47,0.02,813000,19.63289582673712,1,34.6,31.0,32.5,34.0,31.0,32.4,4,25,61981.0LTLR,Environmental,Positive,4.000043427276863,3.6000000000000014,3.6000000000000014
225,Staphylococcus chromogenes,Streptococcus dysgalactiae,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,425,61981,RF,LT,0.62,4.11,4.74,9.68,14.69404,15,-0.31,0.02,15000,13.87267488027061,0,36.0,26.3,34.2,36.1,32.9,34.7,4,25,61981.0LTRF,Environmental,Positive,4.000043427276863,9.7,9.7
226,Staphylococcus chromogenes,Streptococcus dysgalactiae,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,425,61981,RR,LT,0.73,4.23,4.36,9.37,14.19134,754,-0.45,0.03,754000,19.52420499793075,1,33.7,30.6,32.4,33.8,30.1,32.4,4,25,61981.0LTRR,Environmental,Positive,4.000043427276863,3.1000000000000014,3.1000000000000014
227,Staphylococcus aureus,Staphylococcus chromogenes,Mixed Bacterial Growth,,"Colony Count: > 10,000 colony forming units/mL.",10000,,110,61996,LF,T,1.2,3.49,4.64,8.99,3.12626,74,0.11,0.03,74000,16.17523765029104,0,35.3,34.5,34.86,35.5,33.5,34.82,1,10,61996.0TLF,Contagious,Positive,4.000043427276863,0.7999999999999972,0.7999999999999972
228,Staphylococcus aureus,Staphylococcus chromogenes,Mixed Bacterial Growth,,"Colony Count: > 10,000 colony forming units/mL.",10000,,110,61996,RF,T,1.48,3.55,4.57,8.98,6.16152,184,-0.05,0.06,184000,17.4893462407191,0,35.4,34.9,35.1,35.7,31.2,34.86,1,10,61996.0TRF,Contagious,Positive,4.000043427276863,0.5,0.5
229,Staphylococcus aureus,Staphylococcus chromogenes,Mixed Bacterial Growth,,"Colony Count: > 10,000 colony forming units/mL.",10000,,110,61996,RR,T,2.87,3.29,4.54,8.68,2.43232,51,0.44,0.04,51000,15.63820962663358,0,34.5,33.9,34.31,34.6,30.7,33.83,1,10,61996.0TRR,Contagious,Positive,4.000043427276863,0.6000000000000014,0.6000000000000014
230,Staphylococcus aureus,,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,310,61997,LF,C,1.36,3.44,4.76,9.11,15.6358,32,0.04,0.08,32000,14.96578428466209,0,36.0,35.5,35.75,36.3,31.8,35.07,3,10,61997.0CLF,Contagious,Positive,4.000043427276863,0.5,0.5
231,Staphylococcus aureus,,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,310,61997,RR,C,1.59,3.56,4.54,8.96,15.77924,1331,0.15,0.09,1331000,20.34407914057398,1,34.9,34.1,34.41,35.3,33.5,34.53,3,10,61997.0CRR,Contagious,Positive,4.000043427276863,0.7999999999999972,0.7999999999999972
232,Staphylococcus aureus,,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,325,61997,LF,C,1.78,3.79,4.74,9.39,15.19528,34,-0.21,0.06,34000,15.05324712591243,0,35.3,34.7,35.02,35.3,27.6,32.11,3,25,61997.0CLF,Contagious,Positive,4.000043427276863,0.5999999999999943,0.5999999999999943
233,Staphylococcus aureus,,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,325,61997,LR,C,1.55,3.53,1.95,6.06,16.57711,9999,-0.94,-0.16,9999000,23.25335238749349,1,33.9,33.2,33.53,34.7,21.1,32.52,3,25,61997.0CLR,Contagious,Positive,4.000043427276863,0.6999999999999957,0.6999999999999957
234,Staphylococcus aureus,,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,325,61997,RR,C,1.76,3.82,4.23,8.84,16.62026,2117,-0.22,0.04,2117000,21.01358983866968,1,33.3,32.8,33.13,34.8,27.7,33.28,3,25,61997.0CRR,Contagious,Positive,4.000043427276863,0.5,0.5
238,Staphylococcus chromogenes,Staphylococcus xylosus,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,110,62193,LF,C,2.3,4.37,4.52,9.71,9.4443,180,-0.3,0.1,180000,17.45763738099176,0,35.5,33.8,34.89,35.6,30.6,34.34,1,10,62193.0CLF,Environmental,Positive,4.000043427276863,1.7000000000000028,1.7000000000000028
239,Staphylococcus chromogenes,Staphylococcus xylosus,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,110,62193,LR,C,2.89,4.32,4.49,9.64,9.58857,348,-0.17,0.1,348000,18.40872778051082,1,34.7,34.1,34.44,35.4,31.8,34.66,1,10,62193.0CLR,Environmental,Positive,4.000043427276863,0.6000000000000014,0.6000000000000014
240,Staphylococcus chromogenes,Staphylococcus xylosus,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,110,62193,RF,C,2.97,4.36,4.51,9.7,10.27875,217,-0.21,0.1,217000,17.72733551710657,0,36.0,35.3,35.64,36.0,33.8,35.27,1,10,62193.0CRF,Environmental,Positive,4.000043427276863,0.7000000000000028,0.7000000000000028
241,Staphylococcus chromogenes,Staphylococcus xylosus,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,110,62193,RR,C,2.73,4.42,4.61,9.86,10.11945,59,-0.23,0.1,59000,15.84842733402393,0,35.7,35.2,35.42,36.1,34.1,35.13,1,10,62193.0CRR,Environmental,Positive,4.000043427276863,0.5,0.5
242,Staphylococcus aureus,Aerococcus viridans,,,"Colony Count: < 10,000 colony forming units/mL.",10000,,20,62411,LF,C,1.37,3.11,4.69,8.69,13.53719,153,0.5,0.05,153000,17.22317212735474,0,32.6,31.3,32.18,32.6,26.8,31.07,2,0,62411.0CLF,Contagious,Positive,4.000043427276863,1.3000000000000007,1.3000000000000007
243,Staphylococcus aureus,Aerococcus viridans,,,"Colony Count: < 10,000 colony forming units/mL.",10000,,20,62411,LR,C,1.17,3.22,4.97,9.1,14.3381,1,0.52,0.06,1000,9.965784284662087,0,33.6,32.0,32.76,33.6,28.8,31.95,2,0,62411.0CLR,Contagious,Positive,4.000043427276863,1.6000000000000014,1.6000000000000014
244,Staphylococcus aureus,Aerococcus viridans,,,"Colony Count: < 10,000 colony forming units/mL.",10000,,20,62411,RF,C,1.26,3.09,4.01,7.92,14.29058,2605,0.25,0.03,2605000,21.31285194182796,1,34.5,33.3,33.94,34.6,26.1,33.3,2,0,62411.0CRF,Contagious,Positive,4.000043427276863,1.2000000000000028,1.2000000000000028
245,Staphylococcus aureus,Corynebacterium xerosis,Aerococcus viridans,,"Colony Count: 5,000 colony forming units/mL.",5000,,225,62411,LR,C,1.97,3.05,4.72,8.65,6.19684,29,0.84,0.04,29000,14.82376527978966,0,32.7,29.9,31.3,32.8,28.5,31.3,2,25,62411.0CLR,Contagious,Positive,3.699056854547668,2.8000000000000043,2.8000000000000043
246,Staphylococcus aureus,Corynebacterium xerosis,Aerococcus viridans,,"Colony Count: 5,000 colony forming units/mL.",5000,,225,62411,RF,C,1.85,3.05,4.25,8.14,5.5415,1937,0.48,0.04,1937000,20.88539252326534,1,32.1,30.5,31.1,35.5,26.5,31.3,2,25,62411.0CRF,Contagious,Positive,3.699056854547668,1.6000000000000014,1.6000000000000014
247,Staphylococcus aureus,,,,"Colony Count: 1,600 colony forming units/mL.",1600,,20,62436,LF,C,1.73,3.28,3.68,7.72,9.34445,346,0.19,-0.01,346000,18.40041251229881,1,34.3,32.7,33.5,34.3,30.6,33.18,2,0,62436.0CLF,Contagious,Positive,3.2043913319193,1.5999999999999943,1.5999999999999943
248,Staphylococcus aureus,,,,"Colony Count: 1,600 colony forming units/mL.",1600,,20,62436,LR,C,1.66,3.29,3.54,7.58,10.0689,452,0.09,-0.02,452000,18.78596324707728,1,34.8,32.5,33.55,35.1,29.1,33.21,2,0,62436.0CLR,Contagious,Positive,3.2043913319193,2.299999999999997,2.299999999999997
249,Staphylococcus aureus,,,,"Colony Count: 1,600 colony forming units/mL.",1600,,20,62436,RF,C,1.94,3.52,4.0,8.32,6.37543,532,-0.01,0.01,532000,19.02106672016328,1,35.2,33.7,34.31,35.9,32.0,34.19,2,0,62436.0CRF,Contagious,Positive,3.2043913319193,1.5,1.5
250,Staphylococcus aureus,,,,"Colony Count: 1,600 colony forming units/mL.",1600,,20,62436,RR,C,1.83,3.46,4.32,8.61,8.7758,294,0.25,0.04,294000,18.16545662949845,1,33.1,30.9,32.26,33.1,28.4,31.51,2,0,62436.0CRR,Contagious,Positive,3.2043913319193,2.200000000000003,2.200000000000003
251,Staphylococcus chromogenes,,,,Colony Count: 700 CFU/mL.,700,,310,62654,LF,T,0.46,2.79,4.79,8.51,14.0219,98,0.26,0.01,98000,16.5804941287773,0,35.7,34.7,35.47,36.1,32.7,35.13,3,10,62654.0TLF,Environmental,Positive,2.8457180179666586,1.0,1.0
252,Staphylococcus chromogenes,,,,Colony Count: 700 CFU/mL.,700,,310,62654,LR,T,0.33,2.78,4.62,8.31,15.29708,263,0.21,0.0,263000,18.00470327395439,1,34.4,33.5,34.02,34.4,31.5,33.04,3,10,62654.0TLR,Environmental,Positive,2.8457180179666586,0.8999999999999986,0.8999999999999986
253,Staphylococcus chromogenes,,,,Colony Count: 700 CFU/mL.,700,,310,62654,RF,T,0.29,2.77,4.76,8.47,14.95704,478,0.19,0.01,478000,18.86665109264284,1,33.6,32.7,33.11,34.6,31.7,33.16,3,10,62654.0TRF,Environmental,Positive,2.8457180179666586,0.8999999999999986,0.8999999999999986
254,Staphylococcus chromogenes,,,,Colony Count: 700 CFU/mL.,700,,310,62654,RR,T,0.79,3.28,2.24,6.16,11.46335,9999,-0.72,-0.14,9999000,23.25335238749349,1,33.8,33.0,33.43,34.3,30.7,33.35,3,10,62654.0TRR,Environmental,Positive,2.8457180179666586,0.7999999999999972,0.7999999999999972
259,Staphylococcus chromogenes,,,,"Colony Count: 8,400 CFU/ml",8400,,410,62738,LF,C,1.83,3.71,4.21,8.71,16.92342,439,-0.55,0.01,439000,18.74386141419745,1,33.3,32.5,33.01,33.3,31.1,32.58,4,10,62738.0CLF,Environmental,Positive,3.9243309847086785,0.7999999999999972,0.7999999999999972
260,Staphylococcus chromogenes,,,,"Colony Count: 8,400 CFU/ml",8400,,410,62738,LR,C,3.87,3.48,3.91,8.16,15.85307,714,0.12,0.01,714000,19.44556454869119,1,31.6,30.5,31.21,31.7,28.9,30.35,4,10,62738.0CLR,Environmental,Positive,3.9243309847086785,1.1000000000000014,1.1000000000000014
261,Staphylococcus chromogenes,,,,"Colony Count: 8,400 CFU/ml",8400,,410,62738,RF,C,2.41,3.69,4.01,8.47,16.66496,791,-0.4,0.01,791000,19.59331816913488,1,31.3,30.0,30.89,33.3,29.8,32.24,4,10,62738.0CRF,Environmental,Positive,3.9243309847086785,1.3000000000000007,1.3000000000000007
262,Staphylococcus chromogenes,,,,"Colony Count: 8,400 CFU/ml",8400,,410,62738,RR,C,2.69,3.56,3.98,8.32,16.73447,825,-0.23,0.0,825000,19.65403459379527,1,33.2,31.8,32.79,33.2,31.8,32.79,4,10,62738.0CRR,Environmental,Positive,3.9243309847086785,1.4000000000000021,1.4000000000000021
263,Staphylococcus chromogenes,,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,425,62738,LF,C,0.83,3.86,4.09,8.74,18.01715,344,-0.79,-0.01,344000,18.39204903936418,1,35.3,32.4,34.6,35.5,33.0,34.5,4,25,62738.0CLF,Environmental,Positive,4.000043427276863,2.8999999999999986,2.8999999999999986
264,Staphylococcus chromogenes,,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,425,62738,LR,C,1.12,3.77,4.01,8.56,17.73044,385,-0.73,-0.02,385000,18.55449892024435,1,35.1,31.6,34.3,35.1,32.9,34.3,4,25,62738.0CLR,Environmental,Positive,4.000043427276863,3.5,3.5
265,Staphylococcus chromogenes,,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,425,62738,RF,C,0.91,3.82,4.06,8.67,17.83983,292,-0.81,-0.02,292000,18.1556088435421,1,35.4,32.1,33.8,34.9,32.5,33.9,4,25,62738.0CRF,Environmental,Positive,4.000043427276863,3.299999999999997,3.299999999999997
266,Staphylococcus chromogenes,,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,425,62738,RR,C,1.29,3.71,3.91,8.4,18.04811,1228,-0.7,-0.02,1228000,20.22787913003227,1,35.5,32.1,34.2,35.5,32.7,34.2,4,25,62738.0CRR,Environmental,Positive,4.000043427276863,3.3999999999999986,3.3999999999999986
267,Staphylococcus chromogenes,Aerococcus viridans,,,Colony Count: 300 CFU/mL.,300,,310,62765,LF,T,0.79,3.08,5.04,9.05,14.14107,4,0.06,0.0,4000,11.96578428466209,0,35.8,32.7,34.2,35.8,32.5,34.3,3,10,62765.0TLF,Environmental,Positive,2.4785664955938436,3.0999999999999943,3.0999999999999943
268,Staphylococcus chromogenes,Aerococcus viridans,,,Colony Count: 300 CFU/mL.,300,,310,62765,LR,T,0.67,3.09,5.07,9.08,14.22706,1,0.05,0.0,1000,9.965784284662087,0,34.1,26.6,32.1,34.2,27.6,32.4,3,10,62765.0TLR,Environmental,Positive,2.4785664955938436,7.5,7.5
269,Staphylococcus chromogenes,Aerococcus viridans,,,Colony Count: 300 CFU/mL.,300,,310,62765,RF,T,1.46,3.07,4.8,8.77,14.20873,131,0.23,0.0,131000,16.99920728619954,0,34.9,32.9,34.0,34.3,28.0,32.6,3,10,62765.0TRF,Environmental,Positive,2.4785664955938436,2.0,2.0
270,Staphylococcus chromogenes,Aerococcus viridans,,,Colony Count: 300 CFU/mL.,300,,310,62765,RR,T,0.9,3.01,4.51,8.39,12.94246,1466,-0.07,-0.01,1466000,20.4834536727959,1,33.7,30.2,32.7,35.2,32.8,34.0,3,10,62765.0TRR,Environmental,Positive,2.4785664955938436,3.5000000000000036,3.5000000000000036
271,Staphylococcus aureus,Mixed Bacterial Growth,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,110,62772,LF,T,2.17,3.72,4.76,9.35,5.9624,62,0.4,0.09,62000,15.91998059504896,0,35.7,33.6,34.85,35.8,33.2,34.64,1,10,62772.0TLF,Contagious,Positive,4.000043427276863,2.1000000000000014,2.1000000000000014
272,Staphylococcus aureus,Mixed Bacterial Growth,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,110,62772,LR,T,2.63,3.76,3.23,7.71,7.76668,4474,-0.19,0.01,4474000,22.09313382572121,1,34.9,32.7,34.02,35.5,21.6,32.27,1,10,62772.0TLR,Contagious,Positive,4.000043427276863,2.1999999999999957,2.1999999999999957
273,Staphylococcus aureus,Mixed Bacterial Growth,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,110,62772,RF,T,4.03,3.58,4.41,8.85,7.08153,115,0.43,0.09,115000,16.81127433560646,0,34.7,33.6,34.21,35.2,33.4,34.61,1,10,62772.0TRF,Contagious,Positive,4.000043427276863,1.1000000000000014,1.1000000000000014
274,Staphylococcus aureus,Mixed Bacterial Growth,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,110,62772,RR,T,3.25,3.57,3.77,8.14,5.58778,648,-0.09,0.01,648000,19.30563428754671,1,34.6,32.9,34.05,35.3,24.8,32.18,1,10,62772.0TRR,Contagious,Positive,4.000043427276863,1.7000000000000028,1.7000000000000028
275,Aerococcus viridans,Corynebacterium xerosis,,,Colony Count: 600 CFU/ml,600,,410,62822,LF,C,4.27,4.2,4.56,9.56,21.40067,70,0.36,0.11,70000,16.09506730160705,0,32.1,31.0,31.7,32.8,28.7,31.31,4,10,62822.0CLF,Environmental,Positive,2.7788744720027396,1.1000000000000014,1.1000000000000014
276,Aerococcus viridans,Corynebacterium xerosis,,,Colony Count: 600 CFU/ml,600,,410,62822,LR,C,3.71,4.09,4.25,9.12,19.66802,137,0.19,0.09,137000,17.06381636762261,0,33.6,31.9,33.0,33.6,30.5,32.21,4,10,62822.0CLR,Environmental,Positive,2.7788744720027396,1.7000000000000028,1.7000000000000028
277,Aerococcus viridans,Corynebacterium xerosis,,,Colony Count: 600 CFU/ml,600,,410,62822,RF,C,4.36,4.18,4.63,9.61,21.18893,44,0.49,0.11,44000,15.42521590329939,0,32.7,31.2,32.23,32.7,28.8,31.62,4,10,62822.0CRF,Environmental,Positive,2.7788744720027396,1.5000000000000036,1.5000000000000036
278,Aerococcus viridans,Corynebacterium xerosis,,,Colony Count: 600 CFU/ml,600,,410,62822,RR,C,3.43,4.19,4.32,9.29,18.65498,76,0.08,0.09,76000,16.21371179810567,0,34.0,33.3,33.7,34.0,32.1,33.26,4,10,62822.0CRR,Environmental,Positive,2.7788744720027396,0.7000000000000028,0.7000000000000028
279,Corynebacterium bovis,,,,"Colony Count: 2,000 CFU/ml",2000,,425,62822,LF,C,2.35,4.71,4.31,9.77,17.94388,107,-0.17,0.08,107000,16.70725127106324,0,34.0,30.0,32.8,34.0,31.5,33.0,4,25,62822.0CLF,Contagious,Positive,3.3012470886362113,4.0,4.0
280,Corynebacterium bovis,,,,"Colony Count: 2,000 CFU/ml",2000,,425,62822,LR,C,3.77,4.4,3.99,9.13,19.64693,171,0.17,0.08,171000,17.38363679954799,0,33.9,29.9,33.1,34.0,32.1,33.6,4,25,62822.0CLR,Contagious,Positive,3.3012470886362113,4.0,4.0
281,Corynebacterium bovis,,,,"Colony Count: 2,000 CFU/ml",2000,,425,62822,RF,C,1.59,4.35,4.4,9.54,18.71478,39,-0.33,0.06,39000,15.25118650352434,0,35.0,30.7,33.7,35.2,31.8,34.2,4,25,62822.0CRF,Contagious,Positive,3.3012470886362113,4.300000000000001,4.300000000000001
282,Corynebacterium bovis,,,,"Colony Count: 2,000 CFU/ml",2000,,425,62822,RR,C,2.86,4.58,4.11,9.43,19.47525,140,-0.12,0.07,140000,17.09506730160705,0,33.6,30.5,33.0,33.6,31.1,33.1,4,25,62822.0CRR,Contagious,Positive,3.3012470886362113,3.1000000000000014,3.1000000000000014
283,Streptococcus dysgalactiae,Streptococcus sp. Alpha-Hemolytic,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,310,62907,LR,C,1.2,4.07,4.96,9.91,14.61934,7,-0.18,0.06,7000,12.77313920671969,0,34.8,33.9,34.55,35.5,33.0,34.61,3,10,62907.0CLR,Environmental,Positive,4.000043427276863,0.8999999999999986,0.8999999999999986
284,Streptococcus dysgalactiae,Streptococcus sp. Alpha-Hemolytic,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,310,62907,RF,C,4.26,3.56,3.98,8.35,13.31387,287,0.52,0.07,287000,18.13069121133777,1,35.2,34.9,35.06,36.0,34.5,35.24,3,10,62907.0CRF,Environmental,Positive,4.000043427276863,0.30000000000000426,0.30000000000000426
285,Streptococcus dysgalactiae,Streptococcus sp. Alpha-Hemolytic,,,"Colony Count: > 10,000 colony forming units/mL.",10000,,310,62907,RR,C,3.35,3.83,4.6,9.28,12.44348,606,0.39,0.1,606000,19.20895826813504,1,35.5,34.8,35.14,35.7,31.1,34.73,3,10,62907.0CRR,Environmental,Positive,4.000043427276863,0.7000000000000028,0.7000000000000028
286,Streptococcus dysgalactiae,,,,Colony Count: 300 CFU/mL.,300,,325,62907,LR,C,3.16,4.16,4.69,9.67,13.81696,24,-0.3,0.09,24000,14.55074678538324,0,33.3,32.6,33.01,34.3,31.9,32.94,3,25,62907.0CLR,Environmental,Positive,2.4785664955938436,0.6999999999999957,0.6999999999999957
